id,ref,phases,expmeth,solvent,property,property_type,V1,V2,V3,V4,dV4,dV3,temperature,pressure,mole_fraction,gamma,cmp1_id,cmp1_name,cmp1_formula,cmp1_smiles,cmp1_smiles_error,cmp1_sample,cmp1_mw,cmp2_id,cmp2_name,cmp2_formula,cmp2_smiles,cmp2_smiles_error,cmp2_sample,cmp2_mw,SMILES_IL,SMILES_solute,IL_name,solute_name,IL_id,solute_id
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.0,0.0,,0.442,,0.033,308.0,,0.0,0.442,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.0,0.0,,0.602,,0.031,308.0,,0.0,0.602,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.0,0.0,,0.715,,0.029,308.0,,0.0,0.715,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.0,0.0,,0.518,,0.032,313.0,,0.0,0.518,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.0,0.0,,0.722,,0.029,313.0,,0.0,0.722,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.0,0.0,,0.831,,0.028,313.0,,0.0,0.831,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.0,0.0,,0.613,,0.031,318.0,,0.0,0.613,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.0,0.0,,0.827,,0.028,318.0,,0.0,0.827,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.0,0.0,,0.959,,0.026,318.0,,0.0,0.959,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
ZMkok,"{'full': 'Heydar, K. T.; Nazifi, M.; Sharifi, A.; Mirzaei, M.; Gharavi, H.; Ahmadi, S. H. (2013) Chromatographia 76, 165-175.', 'title': 'Determination of Activity Coefficients at Infinite Dilution of Solutes in New Dicationic Ionic Liquids Based on Morpholine Using Gas Liquid Chromatography'}","['Liquid', 'Gas']",Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",323.0,0.0,,0.715,,0.029,323.0,,0.0,0.715,AAdesL,tetrachloromethane,C Cl4,ClC(Cl)(Cl)Cl,,"{'Source': 'commercial source', 'Purification': 'estimated by the compiler', 'Purity': '98 mass %'}",153.81,ADOwwT,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",C23 F12 H40 N4 O10 S4,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,{'Source': 'synthesized by the authors'},888.81,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ClC(Cl)(Cl)Cl,"4,4'-(1,9-nonanediyl)bis(4-methylmorpholinium) bis(trifluoromethanesulfonyl)imide",tetrachloromethane,ADOwwT,AAdesL
